"RowNumber","dayof-on","dayof-noton","daybef-on","daybef-noton","gender","HS","type-of-job","num-yrs-driving","cell-tel-exp","type-of-cell","Location"
"119","0","1","0","1","m","yes","nonprof","21","4-5","handsfree","highspeed"
"120","0","1","1","0","m","yes","nonprof","10","2-3","handsfree","lowspeed"
"121","0","1","0","1","f","yes","nonprof","29","2-3","handsfree","highspeed"
"122","0","1","0","1","m","yes","nonprof","20","2-3","handsfree","highspeed"
"123","0","1","1","0","m","yes","nonprof","14",">6","handsfree","highspeed"
"124","0","1","0","1","f","yes","prof","23","2-3","handsfree","highspeed"
"125","0","1","0","1","m","no","nonprof","21","4-5","handsfree","highspeed"
"126","0","1","0","1","f","no","nonprof","10","4-5","handheld","highspeed"
"127","1","0","0","1","f","yes","nonprof","18",">6","handheld","highspeed"
"128","0","1","0","1","f","yes","prof","17","1","handheld","highspeed"
"129","0","1","0","1","f","yes","nonprof","21","4-5","handsfree","highspeed"
"130","0","1","0","1","m","yes","prof","21","2-3","handsfree","highspeed"
"131","0","1","0","1","m","yes","nonprof","14","2-3","handheld","highspeed"
"132","1","0","1","0","f","yes","nonprof","15","1","handheld","highspeed"
"133","0","1","0","1","f","yes","prof","24","4-5","handsfree","highspeed"
"134","1","0","0","1","f","yes","nonprof","15",">6","handsfree","highspeed"
"135","0","1","0","1","f","yes","nonprof","20",">6","handsfree","highspeed"
"136","0","1","1","0","f","yes","nonprof","5","4-5","handsfree","highspeed"
"137","0","1","0","1","m","yes","nonprof","17","4-5","handsfree","highspeed"
"138","1","0","0","1","m","yes","nonprof","20",">6","handheld","highspeed"
"139","0","1","0","1","m","yes","nonprof","15",">6","handsfree","highspeed"
"140","0","1","1","0","m","yes","nonprof","32","4-5","handheld","highspeed"
"141","0","1","0","1","m","yes","prof","30",">6","handsfree","highspeed"
"142","0","1","0","1","m","yes","nonprof","13","2-3","handheld","highspeed"
"143","0","1","0","1","m","yes","prof","32","4-5","handsfree","highspeed"
"144","0","1","0","1","f","yes","nonprof","18","4-5","handheld","highspeed"
"145","0","1","0","1","m","no","nonprof","15","4-5","handheld","lowspeed"
"146","0","1","0","1","m","yes","nonprof","27","4-5","handsfree","highspeed"
"147","0","1","0","1","f","yes","prof","9","1","handsfree","highspeed"
"148","0","1","0","1","f","yes","prof","36",">6","handsfree","highspeed"
"149","1","0","0","1","m","yes","prof","36","2-3","handsfree","highspeed"
"150","0","1","1","0","m","yes","prof","25",">6","handsfree","highspeed"
"151","0","1","0","1","m","yes","nonprof","17","2-3","handsfree","highspeed"
"152","1","0","0","1","m","yes","nonprof","45","2-3","handheld","highspeed"
